Country.Region	DateFormatted	Cumulative.Deaths	Days.from.50th.Death	LastInSeries	Label	Prct.Increase.Death.2Day	Deaths.per.Day	Deaths.per.Day.3DayMA
Afghanistan	2020-01-22	0	NA	no	NA	NA	NA	NA
Afghanistan	2020-01-23	0	NA	no	NA	NA	NA	NA
Afghanistan	2020-01-24	0	NA	no	NA	NA	NA	NA
Afghanistan	2020-01-25	0	NA	no	NA	NA	0	0
Afghanistan	2020-01-26	0	NA	no	NA	NA	0	0
Afghanistan	2020-01-27	0	NA	no	NA	NA	0	0
Afghanistan	2020-01-28	0	NA	no	NA	NA	0	0
Afghanistan	2020-01-29	0	NA	no	NA	NA	0	0
Afghanistan	2020-01-30	0	NA	no	NA	NA	0	0
Afghanistan	2020-01-31	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-01	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-02	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-03	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-04	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-05	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-06	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-07	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-08	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-09	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-10	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-11	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-12	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-13	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-14	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-15	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-16	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-17	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-18	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-19	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-20	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-21	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-22	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-23	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-24	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-25	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-26	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-27	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-28	0	NA	no	NA	NA	0	0
Afghanistan	2020-02-29	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-01	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-02	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-03	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-04	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-05	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-06	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-07	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-08	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-09	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-10	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-11	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-12	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-13	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-14	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-15	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-16	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-17	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-18	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-19	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-20	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-21	0	NA	no	NA	NA	0	0
Afghanistan	2020-03-22	1	NA	no	NA	NA	1	0.333333333333333
Afghanistan	2020-03-23	1	NA	no	NA	NA	0	0.333333333333333
Afghanistan	2020-03-24	1	NA	no	NA	NA	0	0.333333333333333
Afghanistan	2020-03-25	2	NA	no	NA	NA	1	0.333333333333333
Afghanistan	2020-03-26	4	NA	no	NA	NA	2	1
Afghanistan	2020-03-27	4	NA	no	NA	NA	0	1
Afghanistan	2020-03-28	4	NA	no	NA	NA	0	0.666666666666667
Afghanistan	2020-03-29	4	NA	no	NA	NA	0	0
Afghanistan	2020-03-30	4	NA	no	NA	NA	0	0
Afghanistan	2020-03-31	4	NA	no	NA	NA	0	0
Afghanistan	2020-04-01	4	NA	no	NA	NA	0	0
Afghanistan	2020-04-02	6	NA	no	NA	NA	2	0.666666666666667
Afghanistan	2020-04-03	6	NA	no	NA	NA	0	0.666666666666667
